match,away_team,home_team,player_name,line,over_price,under_price,market_name,agency
Baltimore Orioles v Seattle Mariners,Seattle Mariners,Baltimore Orioles,Logan Gilbert,2.5,1.01,NA,Pitcher Strikeouts,Bet365
Baltimore Orioles v Seattle Mariners,Seattle Mariners,Baltimore Orioles,Logan Gilbert,3.5,1.033,NA,Pitcher Strikeouts,Bet365
Baltimore Orioles v Seattle Mariners,Seattle Mariners,Baltimore Orioles,Logan Gilbert,4.5,1.1,NA,Pitcher Strikeouts,Bet365
Baltimore Orioles v Seattle Mariners,Seattle Mariners,Baltimore Orioles,Logan Gilbert,5.5,1.23,NA,Pitcher Strikeouts,Bet365
Baltimore Orioles v Seattle Mariners,Seattle Mariners,Baltimore Orioles,Logan Gilbert,6.5,1.64,2.25,Pitcher Strikeouts,Bet365
Baltimore Orioles v Seattle Mariners,Seattle Mariners,Baltimore Orioles,Logan Gilbert,6.5,1.64,NA,Pitcher Strikeouts,Bet365
Baltimore Orioles v Seattle Mariners,Seattle Mariners,Baltimore Orioles,Logan Gilbert,7.5,2.28,NA,Pitcher Strikeouts,Bet365
Baltimore Orioles v Seattle Mariners,Seattle Mariners,Baltimore Orioles,Trevor Rogers,2.5,1.076,NA,Pitcher Strikeouts,Bet365
Baltimore Orioles v Seattle Mariners,Seattle Mariners,Baltimore Orioles,Trevor Rogers,3.5,1.22,NA,Pitcher Strikeouts,Bet365
Baltimore Orioles v Seattle Mariners,Seattle Mariners,Baltimore Orioles,Trevor Rogers,4.5,1.52,NA,Pitcher Strikeouts,Bet365
Baltimore Orioles v Seattle Mariners,Seattle Mariners,Baltimore Orioles,Trevor Rogers,5.5,2.3,1.6,Pitcher Strikeouts,Bet365
Baltimore Orioles v Seattle Mariners,Seattle Mariners,Baltimore Orioles,Trevor Rogers,5.5,2.3,NA,Pitcher Strikeouts,Bet365
Baltimore Orioles v Seattle Mariners,Seattle Mariners,Baltimore Orioles,Trevor Rogers,6.5,3.7,NA,Pitcher Strikeouts,Bet365
Baltimore Orioles v Seattle Mariners,Seattle Mariners,Baltimore Orioles,Trevor Rogers,7.5,6.25,NA,Pitcher Strikeouts,Bet365
New York Mets v Atlanta Braves,Atlanta Braves,New York Mets,Carlos Carrasco,2.5,1.43,NA,Pitcher Strikeouts,Bet365
New York Mets v Atlanta Braves,Atlanta Braves,New York Mets,Carlos Carrasco,3.5,2.3,1.6,Pitcher Strikeouts,Bet365
New York Mets v Atlanta Braves,Atlanta Braves,New York Mets,Carlos Carrasco,3.5,2.3,NA,Pitcher Strikeouts,Bet365
New York Mets v Atlanta Braves,Atlanta Braves,New York Mets,Carlos Carrasco,4.5,3.9,NA,Pitcher Strikeouts,Bet365
New York Mets v Atlanta Braves,Atlanta Braves,New York Mets,Carlos Carrasco,5.5,7.25,NA,Pitcher Strikeouts,Bet365
New York Mets v Atlanta Braves,Atlanta Braves,New York Mets,Carlos Carrasco,6.5,12,NA,Pitcher Strikeouts,Bet365
New York Mets v Atlanta Braves,Atlanta Braves,New York Mets,Carlos Carrasco,7.5,17.5,NA,Pitcher Strikeouts,Bet365
New York Mets v Atlanta Braves,Atlanta Braves,New York Mets,David Peterson,2.5,1.13,NA,Pitcher Strikeouts,Bet365
New York Mets v Atlanta Braves,Atlanta Braves,New York Mets,David Peterson,3.5,1.34,NA,Pitcher Strikeouts,Bet365
New York Mets v Atlanta Braves,Atlanta Braves,New York Mets,David Peterson,4.5,1.86,1.86,Pitcher Strikeouts,Bet365
New York Mets v Atlanta Braves,Atlanta Braves,New York Mets,David Peterson,4.5,1.86,NA,Pitcher Strikeouts,Bet365
New York Mets v Atlanta Braves,Atlanta Braves,New York Mets,David Peterson,5.5,3,NA,Pitcher Strikeouts,Bet365
New York Mets v Atlanta Braves,Atlanta Braves,New York Mets,David Peterson,6.5,5,NA,Pitcher Strikeouts,Bet365
New York Mets v Atlanta Braves,Atlanta Braves,New York Mets,David Peterson,7.5,9.5,NA,Pitcher Strikeouts,Bet365
Houston Astros v Boston Red Sox,Boston Red Sox,Houston Astros,Hunter Brown,2.5,1.02,NA,Pitcher Strikeouts,Bet365
Houston Astros v Boston Red Sox,Boston Red Sox,Houston Astros,Hunter Brown,3.5,1.062,NA,Pitcher Strikeouts,Bet365
Houston Astros v Boston Red Sox,Boston Red Sox,Houston Astros,Hunter Brown,4.5,1.16,NA,Pitcher Strikeouts,Bet365
Houston Astros v Boston Red Sox,Boston Red Sox,Houston Astros,Hunter Brown,5.5,1.38,NA,Pitcher Strikeouts,Bet365
Houston Astros v Boston Red Sox,Boston Red Sox,Houston Astros,Hunter Brown,6.5,1.9,1.83,Pitcher Strikeouts,Bet365
Houston Astros v Boston Red Sox,Boston Red Sox,Houston Astros,Hunter Brown,6.5,1.9,NA,Pitcher Strikeouts,Bet365
Houston Astros v Boston Red Sox,Boston Red Sox,Houston Astros,Hunter Brown,7.5,2.85,NA,Pitcher Strikeouts,Bet365
Houston Astros v Boston Red Sox,Boston Red Sox,Houston Astros,Walker Buehler,2.5,1.16,NA,Pitcher Strikeouts,Bet365
Houston Astros v Boston Red Sox,Boston Red Sox,Houston Astros,Walker Buehler,3.5,1.43,NA,Pitcher Strikeouts,Bet365
Houston Astros v Boston Red Sox,Boston Red Sox,Houston Astros,Walker Buehler,4.5,2.2,1.66,Pitcher Strikeouts,Bet365
Houston Astros v Boston Red Sox,Boston Red Sox,Houston Astros,Walker Buehler,4.5,2.2,NA,Pitcher Strikeouts,Bet365
Houston Astros v Boston Red Sox,Boston Red Sox,Houston Astros,Walker Buehler,5.5,3.5,NA,Pitcher Strikeouts,Bet365
Houston Astros v Boston Red Sox,Boston Red Sox,Houston Astros,Walker Buehler,6.5,6,NA,Pitcher Strikeouts,Bet365
Houston Astros v Boston Red Sox,Boston Red Sox,Houston Astros,Walker Buehler,7.5,10,NA,Pitcher Strikeouts,Bet365
New York Yankees v Minnesota Twins,Minnesota Twins,New York Yankees,Cam Schlittler,2.5,1.076,NA,Pitcher Strikeouts,Bet365
New York Yankees v Minnesota Twins,Minnesota Twins,New York Yankees,Cam Schlittler,3.5,1.22,NA,Pitcher Strikeouts,Bet365
New York Yankees v Minnesota Twins,Minnesota Twins,New York Yankees,Cam Schlittler,4.5,1.52,NA,Pitcher Strikeouts,Bet365
New York Yankees v Minnesota Twins,Minnesota Twins,New York Yankees,Cam Schlittler,5.5,2.3,1.6,Pitcher Strikeouts,Bet365
New York Yankees v Minnesota Twins,Minnesota Twins,New York Yankees,Cam Schlittler,5.5,2.3,NA,Pitcher Strikeouts,Bet365
New York Yankees v Minnesota Twins,Minnesota Twins,New York Yankees,Cam Schlittler,6.5,3.7,NA,Pitcher Strikeouts,Bet365
New York Yankees v Minnesota Twins,Minnesota Twins,New York Yankees,Cam Schlittler,7.5,6.5,NA,Pitcher Strikeouts,Bet365
New York Yankees v Minnesota Twins,Minnesota Twins,New York Yankees,Joe Ryan,2.5,1.015,NA,Pitcher Strikeouts,Bet365
New York Yankees v Minnesota Twins,Minnesota Twins,New York Yankees,Joe Ryan,3.5,1.055,NA,Pitcher Strikeouts,Bet365
New York Yankees v Minnesota Twins,Minnesota Twins,New York Yankees,Joe Ryan,4.5,1.15,NA,Pitcher Strikeouts,Bet365
New York Yankees v Minnesota Twins,Minnesota Twins,New York Yankees,Joe Ryan,5.5,1.36,NA,Pitcher Strikeouts,Bet365
New York Yankees v Minnesota Twins,Minnesota Twins,New York Yankees,Joe Ryan,6.5,1.86,1.86,Pitcher Strikeouts,Bet365
New York Yankees v Minnesota Twins,Minnesota Twins,New York Yankees,Joe Ryan,6.5,1.86,NA,Pitcher Strikeouts,Bet365
New York Yankees v Minnesota Twins,Minnesota Twins,New York Yankees,Joe Ryan,7.5,2.7,NA,Pitcher Strikeouts,Bet365
Los Angeles Angels v Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,Kyle Hendricks,2.5,1.38,NA,Pitcher Strikeouts,Bet365
Los Angeles Angels v Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,Kyle Hendricks,3.5,2.15,1.68,Pitcher Strikeouts,Bet365
Los Angeles Angels v Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,Kyle Hendricks,3.5,2.15,NA,Pitcher Strikeouts,Bet365
Los Angeles Angels v Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,Kyle Hendricks,4.5,3.5,NA,Pitcher Strikeouts,Bet365
Los Angeles Angels v Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,Kyle Hendricks,5.5,6.25,NA,Pitcher Strikeouts,Bet365
Los Angeles Angels v Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,Kyle Hendricks,6.5,11,NA,Pitcher Strikeouts,Bet365
Los Angeles Angels v Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,Kyle Hendricks,7.5,17,NA,Pitcher Strikeouts,Bet365
Los Angeles Angels v Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,Shohei Ohtani,2.5,1.062,NA,Pitcher Strikeouts,Bet365
Los Angeles Angels v Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,Shohei Ohtani,3.5,1.16,NA,Pitcher Strikeouts,Bet365
Los Angeles Angels v Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,Shohei Ohtani,4.5,1.37,NA,Pitcher Strikeouts,Bet365
Los Angeles Angels v Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,Shohei Ohtani,5.5,1.83,1.9,Pitcher Strikeouts,Bet365
Los Angeles Angels v Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,Shohei Ohtani,5.5,1.83,NA,Pitcher Strikeouts,Bet365
Los Angeles Angels v Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,Shohei Ohtani,6.5,2.75,NA,Pitcher Strikeouts,Bet365
Los Angeles Angels v Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,Shohei Ohtani,7.5,4.3,NA,Pitcher Strikeouts,Bet365
Oakland Athletics v Tampa Bay Rays,Tampa Bay Rays,Oakland Athletics,Drew Rasmussen,2.5,1.11,NA,Pitcher Strikeouts,Bet365
Oakland Athletics v Tampa Bay Rays,Tampa Bay Rays,Oakland Athletics,Drew Rasmussen,3.5,1.33,NA,Pitcher Strikeouts,Bet365
Oakland Athletics v Tampa Bay Rays,Tampa Bay Rays,Oakland Athletics,Drew Rasmussen,4.5,1.83,1.9,Pitcher Strikeouts,Bet365
Oakland Athletics v Tampa Bay Rays,Tampa Bay Rays,Oakland Athletics,Drew Rasmussen,4.5,1.83,NA,Pitcher Strikeouts,Bet365
Oakland Athletics v Tampa Bay Rays,Tampa Bay Rays,Oakland Athletics,Drew Rasmussen,5.5,2.9,NA,Pitcher Strikeouts,Bet365
Oakland Athletics v Tampa Bay Rays,Tampa Bay Rays,Oakland Athletics,Drew Rasmussen,6.5,4.75,NA,Pitcher Strikeouts,Bet365
Oakland Athletics v Tampa Bay Rays,Tampa Bay Rays,Oakland Athletics,Drew Rasmussen,7.5,9,NA,Pitcher Strikeouts,Bet365
Oakland Athletics v Tampa Bay Rays,Tampa Bay Rays,Oakland Athletics,J.T. Ginn,2.5,1.16,NA,Pitcher Strikeouts,Bet365
Oakland Athletics v Tampa Bay Rays,Tampa Bay Rays,Oakland Athletics,J.T. Ginn,3.5,1.44,NA,Pitcher Strikeouts,Bet365
Oakland Athletics v Tampa Bay Rays,Tampa Bay Rays,Oakland Athletics,J.T. Ginn,4.5,2.2,1.66,Pitcher Strikeouts,Bet365
Oakland Athletics v Tampa Bay Rays,Tampa Bay Rays,Oakland Athletics,J.T. Ginn,4.5,2.2,NA,Pitcher Strikeouts,Bet365
Oakland Athletics v Tampa Bay Rays,Tampa Bay Rays,Oakland Athletics,J.T. Ginn,5.5,3.6,NA,Pitcher Strikeouts,Bet365
Oakland Athletics v Tampa Bay Rays,Tampa Bay Rays,Oakland Athletics,J.T. Ginn,6.5,6,NA,Pitcher Strikeouts,Bet365
Oakland Athletics v Tampa Bay Rays,Tampa Bay Rays,Oakland Athletics,J.T. Ginn,7.5,11,NA,Pitcher Strikeouts,Bet365
