match,away_team,home_team,player_name,line,over_price,under_price,market_name,agency
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Cam Smith,0.5,1.68,2.15,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Cam Smith,0.5,1.68,NA,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Cam Smith,1.5,5,NA,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Cam Smith,2.5,21,NA,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Cam Smith,3.5,81,NA,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Christian Walker,0.5,1.68,2.15,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Christian Walker,0.5,1.68,NA,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Christian Walker,1.5,5,NA,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Christian Walker,2.5,21,NA,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Christian Walker,3.5,81,NA,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Hunter Goodman,0.5,1.95,1.8,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Hunter Goodman,0.5,1.95,NA,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Hunter Goodman,1.5,7.5,NA,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Hunter Goodman,2.5,36,NA,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Isaac Paredes,0.5,1.66,2.2,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Isaac Paredes,0.5,1.66,NA,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Isaac Paredes,1.5,4.75,NA,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Isaac Paredes,2.5,19,NA,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Isaac Paredes,3.5,81,NA,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Jake Meyers,0.5,1.58,2.4,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Jake Meyers,0.5,1.58,NA,Runs,Bet365
Colorado Rockies v Houston Astros,Houston Astros,Colorado Rockies,Jake Meyers,1.5,4.25,NA,Runs,Bet365
