match,home_team,away_team,start_time,player_name,player_team,opposition_team,line,over_price,market_name,agency
St. Louis Cardinals v Chicago Cubs,St. Louis Cardinals,Chicago Cubs,2025-08-11 09:10:00,Ivan Herrera,St. Louis Cardinals,Chicago Cubs,0.5,10.5,Batter Stolen Bases,Neds
St. Louis Cardinals v Chicago Cubs,St. Louis Cardinals,Chicago Cubs,2025-08-11 09:10:00,Pete Crow-Armstrong,Chicago Cubs,St. Louis Cardinals,0.5,2.9,Batter Stolen Bases,Neds
St. Louis Cardinals v Chicago Cubs,St. Louis Cardinals,Chicago Cubs,2025-08-11 09:10:00,Dansby Swanson,Chicago Cubs,St. Louis Cardinals,0.5,6.6,Batter Stolen Bases,Neds
St. Louis Cardinals v Chicago Cubs,St. Louis Cardinals,Chicago Cubs,2025-08-11 09:10:00,Kyle Tucker,Chicago Cubs,St. Louis Cardinals,0.5,3.6,Batter Stolen Bases,Neds
St. Louis Cardinals v Chicago Cubs,St. Louis Cardinals,Chicago Cubs,2025-08-11 09:10:00,Alec Burleson,St. Louis Cardinals,Chicago Cubs,0.5,11,Batter Stolen Bases,Neds
St. Louis Cardinals v Chicago Cubs,St. Louis Cardinals,Chicago Cubs,2025-08-11 09:10:00,Thomas Saggese,St. Louis Cardinals,Chicago Cubs,0.5,9.75,Batter Stolen Bases,Neds
St. Louis Cardinals v Chicago Cubs,St. Louis Cardinals,Chicago Cubs,2025-08-11 09:10:00,Matt Shaw,Chicago Cubs,St. Louis Cardinals,0.5,4.5,Batter Stolen Bases,Neds
St. Louis Cardinals v Chicago Cubs,St. Louis Cardinals,Chicago Cubs,2025-08-11 09:10:00,Victor Scott,St. Louis Cardinals,Chicago Cubs,0.5,2.9,Batter Stolen Bases,Neds
St. Louis Cardinals v Chicago Cubs,St. Louis Cardinals,Chicago Cubs,2025-08-11 09:10:00,Seiya Suzuki,Chicago Cubs,St. Louis Cardinals,0.5,7.75,Batter Stolen Bases,Neds
St. Louis Cardinals v Chicago Cubs,St. Louis Cardinals,Chicago Cubs,2025-08-11 09:10:00,Nico Hoerner,Chicago Cubs,St. Louis Cardinals,0.5,3.8,Batter Stolen Bases,Neds
St. Louis Cardinals v Chicago Cubs,St. Louis Cardinals,Chicago Cubs,2025-08-11 09:10:00,Willson Contreras,St. Louis Cardinals,Chicago Cubs,0.5,14,Batter Stolen Bases,Neds
St. Louis Cardinals v Chicago Cubs,St. Louis Cardinals,Chicago Cubs,2025-08-11 09:10:00,Masyn Winn,St. Louis Cardinals,Chicago Cubs,0.5,6.6,Batter Stolen Bases,Neds
St. Louis Cardinals v Chicago Cubs,St. Louis Cardinals,Chicago Cubs,2025-08-11 09:10:00,Ian Happ,Chicago Cubs,St. Louis Cardinals,0.5,8.75,Batter Stolen Bases,Neds
