match,start_time,market_name,home_team,away_team,home_win,away_win,margin,agency
Los Angeles Dodgers v New York Mets,2025-06-05 11:40:00,Head To Head,Los Angeles Dodgers,New York Mets,1.67,2.25,1.04,Neds
Seattle Mariners v Baltimore Orioles,2025-06-05 11:10:00,Head To Head,Seattle Mariners,Baltimore Orioles,1.9,1.9,1.05,Neds
Seattle Mariners v Baltimore Orioles,2025-06-06 05:10:00,Head To Head,Seattle Mariners,Baltimore Orioles,1.55,2.45,1.05,Neds
San Francisco Giants v San Diego Padres,2025-06-05 11:15:00,Head To Head,San Francisco Giants,San Diego Padres,1.94,1.87,1.05,Neds
New York Yankees v Cleveland Guardians,2025-06-06 08:35:00,Head To Head,New York Yankees,Cleveland Guardians,1.3599999999999999,3.2,1.05,Neds
Pittsburgh Pirates v Houston Astros,2025-06-06 08:10:00,Head To Head,Pittsburgh Pirates,Houston Astros,2.35,1.62,1.04,Neds
Chicago White Sox v Detroit Tigers,2025-06-06 03:40:00,Head To Head,Chicago White Sox,Detroit Tigers,2.8,1.45,1.05,Neds
Atlanta Braves v Arizona Diamondbacks,2025-06-06 01:45:00,Head To Head,Atlanta Braves,Arizona Diamondbacks,1.72,2.15,1.05,Neds
Toronto Blue Jays v Philadelphia Phillies,2025-06-06 04:37:00,Head To Head,Toronto Blue Jays,Philadelphia Phillies,2.05,1.78,1.05,Neds
Tampa Bay Rays v Texas Rangers,2025-06-06 09:05:00,Head To Head,Tampa Bay Rays,Texas Rangers,1.65,2.25,1.05,Neds
San Francisco Giants v San Diego Padres,2025-06-06 05:15:00,Head To Head,San Francisco Giants,San Diego Padres,1.78,2.05,1.05,Neds
Oakland Athletics v Minnesota Twins,2025-06-05 11:35:00,Head To Head,Oakland Athletics,Minnesota Twins,2.5,1.55,1.05,Neds
Chicago White Sox v Detroit Tigers,2025-06-05 10:30:00,Head To Head,Chicago White Sox,Detroit Tigers,2.65,1.5,1.04,Neds
