match,start_time,market_name,home_team,away_team,line,home_price,away_price,margin,agency
Seattle Mariners v Pittsburgh Pirates,2025-07-06 11:40:00,Line,Seattle Mariners,Pittsburgh Pirates,NA,3.15,1.35,1.06,Neds
Seattle Mariners v Pittsburgh Pirates,2025-07-06 11:40:00,Line,Seattle Mariners,Pittsburgh Pirates,NA,3.15,1.6,0.94,Neds
Seattle Mariners v Pittsburgh Pirates,2025-07-06 11:40:00,Line,Seattle Mariners,Pittsburgh Pirates,NA,3.15,3.15,0.63,Neds
Seattle Mariners v Pittsburgh Pirates,2025-07-06 11:40:00,Line,Seattle Mariners,Pittsburgh Pirates,NA,3.15,4.6,0.53,Neds
Oakland Athletics v San Francisco Giants,2025-07-06 11:35:00,Line,Oakland Athletics,San Francisco Giants,NA,1.94,1.85,1.06,Neds
Oakland Athletics v San Francisco Giants,2025-07-06 11:35:00,Line,Oakland Athletics,San Francisco Giants,NA,1.94,1.19,1.36,Neds
Oakland Athletics v San Francisco Giants,2025-07-06 11:35:00,Line,Oakland Athletics,San Francisco Giants,NA,1.94,2.45,0.92,Neds
Oakland Athletics v San Francisco Giants,2025-07-06 11:35:00,Line,Oakland Athletics,San Francisco Giants,NA,1.94,1.3,1.28,Neds
Seattle Mariners v Pittsburgh Pirates,2025-07-06 11:40:00,Line,Seattle Mariners,Pittsburgh Pirates,NA,2.35,1.35,1.17,Neds
Seattle Mariners v Pittsburgh Pirates,2025-07-06 11:40:00,Line,Seattle Mariners,Pittsburgh Pirates,NA,2.35,1.6,1.05,Neds
Seattle Mariners v Pittsburgh Pirates,2025-07-06 11:40:00,Line,Seattle Mariners,Pittsburgh Pirates,NA,2.35,3.15,0.74,Neds
Seattle Mariners v Pittsburgh Pirates,2025-07-06 11:40:00,Line,Seattle Mariners,Pittsburgh Pirates,NA,2.35,4.6,0.64,Neds
Los Angeles Dodgers v Houston Astros,2025-07-06 08:45:00,Line,Los Angeles Dodgers,Houston Astros,NA,2.45,1.55,1.05,Neds
Los Angeles Dodgers v Houston Astros,2025-07-06 08:45:00,Line,Los Angeles Dodgers,Houston Astros,NA,2.45,1.32,1.17,Neds
Los Angeles Dodgers v Houston Astros,2025-07-06 08:45:00,Line,Los Angeles Dodgers,Houston Astros,NA,2.45,4,0.66,Neds
Los Angeles Dodgers v Houston Astros,2025-07-06 08:45:00,Line,Los Angeles Dodgers,Houston Astros,NA,2.45,2.85,0.76,Neds
Colorado Rockies v Chicago White Sox,2025-07-06 10:40:00,Line,Colorado Rockies,Chicago White Sox,NA,1.53,2.5,1.05,Neds
Colorado Rockies v Chicago White Sox,2025-07-06 10:40:00,Line,Colorado Rockies,Chicago White Sox,NA,1.53,3.15,0.97,Neds
Colorado Rockies v Chicago White Sox,2025-07-06 10:40:00,Line,Colorado Rockies,Chicago White Sox,NA,1.53,1.5,1.32,Neds
Colorado Rockies v Chicago White Sox,2025-07-06 10:40:00,Line,Colorado Rockies,Chicago White Sox,NA,1.53,1.3,1.42,Neds
Cleveland Guardians v Detroit Tigers,2025-07-06 08:45:00,Line,Cleveland Guardians,Detroit Tigers,NA,1.67,2.2,1.05,Neds
Cleveland Guardians v Detroit Tigers,2025-07-06 08:45:00,Line,Cleveland Guardians,Detroit Tigers,NA,1.67,1.2,1.43,Neds
Cleveland Guardians v Detroit Tigers,2025-07-06 08:45:00,Line,Cleveland Guardians,Detroit Tigers,NA,1.67,1.35,1.34,Neds
Cleveland Guardians v Detroit Tigers,2025-07-06 08:45:00,Line,Cleveland Guardians,Detroit Tigers,NA,1.67,2.75,0.96,Neds
Los Angeles Dodgers v Houston Astros,2025-07-06 08:45:00,Line,Los Angeles Dodgers,Houston Astros,NA,3.35,1.55,0.94,Neds
Los Angeles Dodgers v Houston Astros,2025-07-06 08:45:00,Line,Los Angeles Dodgers,Houston Astros,NA,3.35,1.32,1.06,Neds
Los Angeles Dodgers v Houston Astros,2025-07-06 08:45:00,Line,Los Angeles Dodgers,Houston Astros,NA,3.35,4,0.55,Neds
Los Angeles Dodgers v Houston Astros,2025-07-06 08:45:00,Line,Los Angeles Dodgers,Houston Astros,NA,3.35,2.85,0.65,Neds
