match,home_team,away_team,start_time,player_name,player_team,opposition_team,line,over_price,under_price,market_name,agency
Boston Red Sox v Tampa Bay Rays,Boston Red Sox,Tampa Bay Rays,2025-06-12 08:40:00,Zack Littell,Tampa Bay Rays,Boston Red Sox,15.5,1.8199999999999998,1.88,Pitcher Outs,Neds
New York Mets v Washington Nationals,New York Mets,Washington Nationals,2025-06-12 08:40:00,David Peterson,New York Mets,Washington Nationals,18.5,2.25,1.58,Pitcher Outs,Neds
Kansas City Royals v New York Yankees,Kansas City Royals,New York Yankees,2025-06-12 09:10:00,Kris Bubic,Kansas City Royals,New York Yankees,16.5,1.78,1.92,Pitcher Outs,Neds
Colorado Rockies v San Francisco Giants,Colorado Rockies,San Francisco Giants,2025-06-12 10:10:00,Kyle Freeland,Colorado Rockies,San Francisco Giants,17.5,1.8,1.9,Pitcher Outs,Neds
Houston Astros v Chicago White Sox,Houston Astros,Chicago White Sox,2025-06-12 09:40:00,Sean Burke,Chicago White Sox,Houston Astros,17.5,1.92,1.78,Pitcher Outs,Neds
New York Mets v Washington Nationals,New York Mets,Washington Nationals,2025-06-12 08:40:00,Jake Irvin,Washington Nationals,New York Mets,16.5,1.92,1.78,Pitcher Outs,Neds
Boston Red Sox v Tampa Bay Rays,Boston Red Sox,Tampa Bay Rays,2025-06-12 08:40:00,Walker Buehler,Boston Red Sox,Tampa Bay Rays,15.5,2.1,1.65,Pitcher Outs,Neds
Colorado Rockies v San Francisco Giants,Colorado Rockies,San Francisco Giants,2025-06-12 10:10:00,Robbie Ray,San Francisco Giants,Colorado Rockies,17.5,1.53,2.35,Pitcher Outs,Neds
Houston Astros v Chicago White Sox,Houston Astros,Chicago White Sox,2025-06-12 09:40:00,Ryan Gusto,Houston Astros,Chicago White Sox,15.5,2.25,1.5699999999999998,Pitcher Outs,Neds
Baltimore Orioles v Detroit Tigers,Baltimore Orioles,Detroit Tigers,2025-06-12 08:05:00,Casey Mize,Detroit Tigers,Baltimore Orioles,15.5,1.78,1.92,Pitcher Outs,Neds
Baltimore Orioles v Detroit Tigers,Baltimore Orioles,Detroit Tigers,2025-06-12 08:05:00,Zach Eflin,Baltimore Orioles,Detroit Tigers,17.5,1.65,2.1,Pitcher Outs,Neds
Kansas City Royals v New York Yankees,Kansas City Royals,New York Yankees,2025-06-12 09:10:00,Clarke Schmidt,New York Yankees,Kansas City Royals,17.5,1.92,1.78,Pitcher Outs,Neds
