match,start_time,market_name,home_team,away_team,line,over_price,under_price,agency
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,1.42,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,6.2,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,3.7,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,2.05,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,2.75,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,1.9,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,3.05,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,1.28,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,8.75,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,2.25,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,1.09,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,1.2,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,1.13,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,1.3,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,1.5699999999999998,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,1.12,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,9,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,1.7,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,5.8,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,1.46,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,1.09,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,1.2,Neds
Los Angeles Angels v Tampa Bay Rays,2025-08-05 11:08:00,Total Runs Over/Under,Los Angeles Angels,Tampa Bay Rays,NA,2.85,4,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,1.12,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,1.26,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,5.5,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,8.75,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,1.67,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,1.38,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,1.3,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,1.55,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,2,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,1.2,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,3.8,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,2.7,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,6.2,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,3.6,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,1.08,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,1.12,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,8.75,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,1.85,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,1.45,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,1.2,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,3,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,2.2,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,6.25,1.09,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,1.5,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,1.38,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,1.07,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,2.85,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,1.24,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,1.11,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,3.45,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,1.94,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,1.6,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,2.1,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,1.17,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,1.19,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,1.26,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,1.11,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,5.25,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,1.8,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,1.3599999999999999,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,8,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,1.06,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,8,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,2.5,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,5.5,Neds
New York Mets v Cleveland Guardians,2025-08-05 08:40:00,Total Runs Over/Under,New York Mets,Cleveland Guardians,NA,2.55,3.35,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,1.12,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,1.26,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,5.5,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,8.75,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,1.67,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,1.38,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,1.3,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,1.55,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,2,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,1.2,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,3.8,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,2.7,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,6.2,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,3.6,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,1.08,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,1.12,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,8.75,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,1.85,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,1.45,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,1.2,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,3,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,2.2,Neds
Miami Marlins v Houston Astros,2025-08-05 08:10:00,Total Runs Over/Under,Miami Marlins,Houston Astros,NA,3.75,1.09,Neds
Philadelphia Phillies v Detroit Tigers,2025-08-04 08:40:00,Total Runs Over/Under,Philadelphia Phillies,Detroit Tigers,NA,2.65,1.48,Neds
Philadelphia Phillies v Detroit Tigers,2025-08-04 08:40:00,Total Runs Over/Under,Philadelphia Phillies,Detroit Tigers,NA,2.65,1.1400000000000001,Neds
Philadelphia Phillies v Detroit Tigers,2025-08-04 08:40:00,Total Runs Over/Under,Philadelphia Phillies,Detroit Tigers,NA,2.65,4,Neds
Philadelphia Phillies v Detroit Tigers,2025-08-04 08:40:00,Total Runs Over/Under,Philadelphia Phillies,Detroit Tigers,NA,2.65,5.8,Neds
Philadelphia Phillies v Detroit Tigers,2025-08-04 08:40:00,Total Runs Over/Under,Philadelphia Phillies,Detroit Tigers,NA,2.65,1.09,Neds
Philadelphia Phillies v Detroit Tigers,2025-08-04 08:40:00,Total Runs Over/Under,Philadelphia Phillies,Detroit Tigers,NA,2.65,1.94,Neds
Philadelphia Phillies v Detroit Tigers,2025-08-04 08:40:00,Total Runs Over/Under,Philadelphia Phillies,Detroit Tigers,NA,2.65,1.13,Neds
Philadelphia Phillies v Detroit Tigers,2025-08-04 08:40:00,Total Runs Over/Under,Philadelphia Phillies,Detroit Tigers,NA,2.65,1.42,Neds
