match,player_name,market_name,line,over_price,agency,under_price
Athletics v Minnesota Twins,Joe Ryan,Player Hits,5.5,2.2,Pinnacle,1.625
Athletics v Minnesota Twins,Luis Severino,Player Hits,5.5,1.746,Pinnacle,2.01
Boston Red Sox v Los Angeles Angels,Tyler Anderson,Player Hits,5.5,1.884,Pinnacle,1.854
Chicago White Sox v Detroit Tigers,Jack Flaherty,Player Hits,4.5,1.649,Pinnacle,2.16
Chicago White Sox v Detroit Tigers,Jonathan Cannon,Player Hits,5.5,1.666,Pinnacle,2.13
Cincinnati Reds v Milwaukee Brewers,Aaron Civale,Player Hits,5.5,2.19,Pinnacle,1.632
Cincinnati Reds v Milwaukee Brewers,Brady Singer,Player Hits,5.5,1.833,Pinnacle,1.909
Los Angeles Dodgers v New York Mets,Dustin May,Player Hits,4.5,1.724,Pinnacle,2.04
Los Angeles Dodgers v New York Mets,Paul Blackburn,Player Hits,4.5,1.606,Pinnacle,2.24
Miami Marlins v Colorado Rockies,German Marquez,Player Hits,6.5,2.18,Pinnacle,1.636
Miami Marlins v Colorado Rockies,Max Meyer,Player Hits,4.5,1.751,Pinnacle,2.01
San Francisco Giants v San Diego Padres,Logan Webb,Player Hits,6.5,2.13,Pinnacle,1.662
San Francisco Giants v San Diego Padres,Stephen Kolek,Player Hits,5.5,1.869,Pinnacle,1.869
