match,player_name,market_name,line,over_price,agency,under_price
Baltimore Orioles v Seattle Mariners,Eugenio Suarez,Home Runs,0.5,5.15,Pinnacle,1.142
Cincinnati Reds v Philadelphia Phillies,Austin Hays,Home Runs,0.5,6.54,Pinnacle,1.09
Cincinnati Reds v Philadelphia Phillies,Brandon Marsh,Home Runs,0.5,6.3,Pinnacle,1.097
Cincinnati Reds v Philadelphia Phillies,Bryce Harper,Home Runs,0.5,3.19,Pinnacle,1.322
Cincinnati Reds v Philadelphia Phillies,J.T. Realmuto,Home Runs,0.5,6.64,Pinnacle,1.087
Cincinnati Reds v Philadelphia Phillies,Kyle Schwarber,Home Runs,0.5,2.6,Pinnacle,1.46
Cincinnati Reds v Philadelphia Phillies,Matt McLain,Home Runs,0.5,6.85,Pinnacle,1.082
Cincinnati Reds v Philadelphia Phillies,Trea Turner,Home Runs,0.5,6.5,Pinnacle,1.091
Cleveland Guardians v Miami Marlins,Agustin Ramirez,Home Runs,0.5,4.9,Pinnacle,1.155
Cleveland Guardians v Miami Marlins,Bo Naylor,Home Runs,0.5,5.51,Pinnacle,1.125
Cleveland Guardians v Miami Marlins,Carlos Santana,Home Runs,0.5,7.1,Pinnacle,1.076
Cleveland Guardians v Miami Marlins,Daniel Schneemann,Home Runs,0.5,6.53,Pinnacle,1.09
Cleveland Guardians v Miami Marlins,Jose Ramirez,Home Runs,0.5,4.58,Pinnacle,1.174
Cleveland Guardians v Miami Marlins,Kyle Manzardo,Home Runs,0.5,4.48,Pinnacle,1.181
Cleveland Guardians v Miami Marlins,Kyle Stowers,Home Runs,0.5,5.29,Pinnacle,1.135
Kansas City Royals v Washington Nationals,Bobby Witt Jr.,Home Runs,0.5,5.45,Pinnacle,1.128
Kansas City Royals v Washington Nationals,Randal Grichuk,Home Runs,0.5,5.46,Pinnacle,1.153
San Francisco Giants v San Diego Padres,Heliot Ramos,Home Runs,0.5,5.84,Pinnacle,1.113
San Francisco Giants v San Diego Padres,Manny Machado,Home Runs,0.5,6.35,Pinnacle,1.096
San Francisco Giants v San Diego Padres,Rafael Devers,Home Runs,0.5,5.49,Pinnacle,1.126
San Francisco Giants v San Diego Padres,Willy Adames,Home Runs,0.5,6.11,Pinnacle,1.103
St. Louis Cardinals v Colorado Rockies,Hunter Goodman,Home Runs,0.5,5.37,Pinnacle,1.131
St. Louis Cardinals v Colorado Rockies,Ivan Herrera,Home Runs,0.5,6.18,Pinnacle,1.101
St. Louis Cardinals v Colorado Rockies,Willson Contreras,Home Runs,0.5,4.73,Pinnacle,1.164
Toronto Blue Jays v Chicago Cubs,Addison Barger,Home Runs,0.5,5.67,Pinnacle,1.119
Toronto Blue Jays v Chicago Cubs,Daulton Varsho,Home Runs,0.5,5.71,Pinnacle,1.117
Toronto Blue Jays v Chicago Cubs,Vladimir Guerrero Jr.,Home Runs,0.5,4.45,Pinnacle,1.183
