match,player_name,market_name,line,over_price,agency,under_price
Athletics v Los Angeles Angels,Gunnar Hoglund(must start),Pitching Outs,16.5,1.884,Pinnacle,1.854
Athletics v Los Angeles Angels,Kyle Hendricks(must start),Pitching Outs,15.5,1.813,Pinnacle,1.934
Boston Red Sox v New York Mets,Clay Holmes(must start),Pitching Outs,16.5,1.884,Pinnacle,1.854
Colorado Rockies v Philadelphia Phillies,Antonio Senzatela(must start),Pitching Outs,15.5,2.26,Pinnacle,1.591
Colorado Rockies v Philadelphia Phillies,Jesús Luzardo(must start),Pitching Outs,17.5,1.9,Pinnacle,1.84
Los Angeles Dodgers v Arizona Diamondbacks,Yoshinobu Yamamoto(must start),Pitching Outs,17.5,1.787,Pinnacle,1.961
Miami Marlins v Chicago Cubs,Jameson Taillon(must start),Pitching Outs,17.5,1.613,Pinnacle,2.23
Miami Marlins v Chicago Cubs,Ryan Weathers(must start),Pitching Outs,14.5,1.534,Pinnacle,2.39
Milwaukee Brewers v Baltimore Orioles,Logan Henderson(must start),Pitching Outs,15.5,2.31,Pinnacle,1.571
New York Yankees v Texas Rangers,Patrick Corbin(must start),Pitching Outs,15.5,2.38,Pinnacle,1.54
New York Yankees v Texas Rangers,Will Warren(must start),Pitching Outs,15.5,1.961,Pinnacle,1.787
Pittsburgh Pirates v Cincinnati Reds,Nick Martinez(must start),Pitching Outs,17.5,1.884,Pinnacle,1.854
San Francisco Giants v Kansas City Royals,Michael Lorenzen(must start),Pitching Outs,17.5,1.99,Pinnacle,1.763
St. Louis Cardinals v Detroit Tigers,Erick Fedde(must start),Pitching Outs,17.5,1.709,Pinnacle,2.07
St. Louis Cardinals v Detroit Tigers,Tarik Skubal(must start),Pitching Outs,18.5,2.35,Pinnacle,1.543
Tampa Bay Rays v Houston Astros,Zack Littell(must start),Pitching Outs,17.5,1.555,Pinnacle,2.34
Toronto Blue Jays v San Diego Padres,Dylan Cease(must start),Pitching Outs,17.5,1.666,Pinnacle,2.13
Washington Nationals v Atlanta Braves,Mitchell Parker(must start),Pitching Outs,15.5,1.877,Pinnacle,1.862
