match,player_name,market_name,line,over_price,agency,under_price
Cleveland Guardians v Atlanta Braves,Angel Martinez,Total Bases,0.5,1.526,Pinnacle,2.41
Cleveland Guardians v Atlanta Braves,C.J. Kayfus,Total Bases,0.5,1.617,Pinnacle,2.22
Cleveland Guardians v Atlanta Braves,Gabriel Arias,Total Bases,0.5,1.5,Pinnacle,2.48
Cleveland Guardians v Atlanta Braves,Jose Ramirez,Total Bases,1.5,1.97,Pinnacle,1.775
Cleveland Guardians v Atlanta Braves,Kyle Manzardo,Total Bases,1.5,2.34,Pinnacle,1.558
Cleveland Guardians v Atlanta Braves,Matt Olson,Total Bases,1.5,2.28,Pinnacle,1.581
Cleveland Guardians v Atlanta Braves,Michael Harris II,Total Bases,1.5,2.38,Pinnacle,1.537
Cleveland Guardians v Atlanta Braves,Ozzie Albies,Total Bases,1.5,2.34,Pinnacle,1.558
Cleveland Guardians v Atlanta Braves,Ronald Acuna Jr.,Total Bases,1.5,2.11,Pinnacle,1.675
Cleveland Guardians v Atlanta Braves,Steven Kwan,Total Bases,1.5,2.32,Pinnacle,1.561
Colorado Rockies v Arizona Diamondbacks,Adael Amador,Total Bases,0.5,1.49,Pinnacle,2.51
Colorado Rockies v Arizona Diamondbacks,Adrian Del Castillo,Total Bases,1.5,1.943,Pinnacle,1.8
Colorado Rockies v Arizona Diamondbacks,Alek Thomas,Total Bases,1.5,1.952,Pinnacle,1.793
Colorado Rockies v Arizona Diamondbacks,Blaze Alexander,Total Bases,1.5,2.03,Pinnacle,1.735
Colorado Rockies v Arizona Diamondbacks,Brenton Doyle,Total Bases,1.5,2.09,Pinnacle,1.689
Colorado Rockies v Arizona Diamondbacks,Corbin Carroll,Total Bases,2.5,2.05,Pinnacle,1.719
Colorado Rockies v Arizona Diamondbacks,Ezequiel Tovar,Total Bases,1.5,1.84,Pinnacle,1.9
Colorado Rockies v Arizona Diamondbacks,Geraldo Perdomo,Total Bases,1.5,1.854,Pinnacle,1.884
Colorado Rockies v Arizona Diamondbacks,Hunter Goodman,Total Bases,1.5,1.819,Pinnacle,1.917
Colorado Rockies v Arizona Diamondbacks,James McCann,Total Bases,1.5,2.04,Pinnacle,1.724
Colorado Rockies v Arizona Diamondbacks,Jordan Beck,Total Bases,1.5,1.925,Pinnacle,1.819
Colorado Rockies v Arizona Diamondbacks,Ketel Marte,Total Bases,2.5,2.18,Pinnacle,1.636
Colorado Rockies v Arizona Diamondbacks,Kyle Karros,Total Bases,1.5,2.15,Pinnacle,1.653
Colorado Rockies v Arizona Diamondbacks,Lourdes Gurriel Jr.,Total Bases,1.5,1.649,Pinnacle,2.16
Colorado Rockies v Arizona Diamondbacks,Mickey Moniak,Total Bases,1.5,1.819,Pinnacle,1.917
Colorado Rockies v Arizona Diamondbacks,Tyler Freeman,Total Bases,1.5,1.84,Pinnacle,1.9
Colorado Rockies v Arizona Diamondbacks,Tyler Locklear,Total Bases,1.5,1.8,Pinnacle,1.943
Colorado Rockies v Arizona Diamondbacks,Warming Bernabel,Total Bases,1.5,2.02,Pinnacle,1.74
Los Angeles Dodgers v San Diego Padres,Alex Freeland,Total Bases,0.5,1.746,Pinnacle,2.01
Los Angeles Dodgers v San Diego Padres,Andy Pages,Total Bases,1.5,2.24,Pinnacle,1.602
Los Angeles Dodgers v San Diego Padres,Freddie Freeman,Total Bases,1.5,1.934,Pinnacle,1.813
Los Angeles Dodgers v San Diego Padres,Freddy Fermin,Total Bases,0.5,1.595,Pinnacle,2.26
Los Angeles Dodgers v San Diego Padres,Jackson Merrill,Total Bases,1.5,2.31,Pinnacle,1.571
Los Angeles Dodgers v San Diego Padres,Jose Iglesias,Total Bases,0.5,1.534,Pinnacle,2.39
Los Angeles Dodgers v San Diego Padres,Luis Arraez,Total Bases,1.5,2.36,Pinnacle,1.549
Los Angeles Dodgers v San Diego Padres,Manny Machado,Total Bases,1.5,2.03,Pinnacle,1.735
Los Angeles Dodgers v San Diego Padres,Miguel Rojas,Total Bases,0.5,1.714,Pinnacle,2.06
Los Angeles Dodgers v San Diego Padres,Shohei Ohtani,Total Bases,1.5,1.714,Pinnacle,2.06
Los Angeles Dodgers v San Diego Padres,Will Smith,Total Bases,1.5,2.09,Pinnacle,1.689
New York Mets v Seattle Mariners,Brandon Nimmo,Total Bases,1.5,2.29,Pinnacle,1.581
New York Mets v Seattle Mariners,Cal Raleigh,Total Bases,1.5,2.17,Pinnacle,1.645
New York Mets v Seattle Mariners,Cedric Mullins,Total Bases,0.5,1.724,Pinnacle,2.04
New York Mets v Seattle Mariners,Dylan Moore,Total Bases,0.5,2.22,Pinnacle,1.613
New York Mets v Seattle Mariners,Eugenio Suarez,Total Bases,0.5,1.555,Pinnacle,2.34
New York Mets v Seattle Mariners,Francisco Alvarez,Total Bases,0.5,1.769,Pinnacle,1.98
New York Mets v Seattle Mariners,Francisco Lindor,Total Bases,1.5,2.31,Pinnacle,1.571
New York Mets v Seattle Mariners,J.P. Crawford,Total Bases,0.5,1.694,Pinnacle,2.09
New York Mets v Seattle Mariners,Jorge Polanco,Total Bases,0.5,1.602,Pinnacle,2.24
New York Mets v Seattle Mariners,Josh Naylor,Total Bases,1.5,2.57,Pinnacle,1.469
New York Mets v Seattle Mariners,Juan Soto,Total Bases,1.5,2.25,Pinnacle,1.598
New York Mets v Seattle Mariners,Julio Rodriguez,Total Bases,1.5,2.03,Pinnacle,1.735
New York Mets v Seattle Mariners,Mitch Garver,Total Bases,0.5,1.793,Pinnacle,1.952
New York Mets v Seattle Mariners,Pete Alonso,Total Bases,1.5,2.39,Pinnacle,1.534
New York Mets v Seattle Mariners,Randy Arozarena,Total Bases,1.5,2.23,Pinnacle,1.606
New York Mets v Seattle Mariners,Starling Marte,Total Bases,0.5,1.5,Pinnacle,2.48
San Francisco Giants v Tampa Bay Rays,Brandon Lowe,Total Bases,1.5,2.49,Pinnacle,1.497
San Francisco Giants v Tampa Bay Rays,Jake Mangum,Total Bases,1.5,2.58,Pinnacle,1.465
San Francisco Giants v Tampa Bay Rays,Josh Lowe,Total Bases,1.5,2.56,Pinnacle,1.471
San Francisco Giants v Tampa Bay Rays,Jung Hoo Lee,Total Bases,0.5,1.469,Pinnacle,2.57
San Francisco Giants v Tampa Bay Rays,Tristan Peters,Total Bases,0.5,1.961,Pinnacle,1.781
San Francisco Giants v Tampa Bay Rays,Willy Adames,Total Bases,0.5,1.602,Pinnacle,2.25
San Francisco Giants v Tampa Bay Rays,Yandy Diaz,Total Bases,1.5,2.36,Pinnacle,1.549
St. Louis Cardinals v New York Yankees,Aaron Judge,Total Bases,1.5,1.917,Pinnacle,1.819
St. Louis Cardinals v New York Yankees,Alec Burleson,Total Bases,1.5,2.35,Pinnacle,1.552
St. Louis Cardinals v New York Yankees,Anthony Volpe,Total Bases,0.5,1.487,Pinnacle,2.52
St. Louis Cardinals v New York Yankees,Ben Rice,Total Bases,0.5,1.483,Pinnacle,2.53
St. Louis Cardinals v New York Yankees,Cody Bellinger,Total Bases,1.5,2.26,Pinnacle,1.595
St. Louis Cardinals v New York Yankees,Giancarlo Stanton,Total Bases,1.5,2.45,Pinnacle,1.51
St. Louis Cardinals v New York Yankees,Ivan Herrera,Total Bases,1.5,2.43,Pinnacle,1.518
St. Louis Cardinals v New York Yankees,Jazz Chisholm Jr.,Total Bases,0.5,1.571,Pinnacle,2.31
St. Louis Cardinals v New York Yankees,Lars Nootbaar,Total Bases,0.5,1.625,Pinnacle,2.2
St. Louis Cardinals v New York Yankees,Masyn Winn,Total Bases,0.5,1.51,Pinnacle,2.45
St. Louis Cardinals v New York Yankees,Ryan McMahon,Total Bases,0.5,1.699,Pinnacle,2.08
St. Louis Cardinals v New York Yankees,Thomas Saggese,Total Bases,0.5,1.641,Pinnacle,2.17
St. Louis Cardinals v New York Yankees,Victor Scott II,Total Bases,0.5,1.826,Pinnacle,1.917
St. Louis Cardinals v New York Yankees,Willson Contreras,Total Bases,0.5,1.543,Pinnacle,2.37
Washington Nationals v Philadelphia Phillies,Brady House,Total Bases,0.5,1.714,Pinnacle,2.06
Washington Nationals v Philadelphia Phillies,Bryson Stott,Total Bases,0.5,1.558,Pinnacle,2.33
Washington Nationals v Philadelphia Phillies,CJ Abrams,Total Bases,1.5,2.48,Pinnacle,1.502
Washington Nationals v Philadelphia Phillies,Daylen Lile,Total Bases,0.5,1.561,Pinnacle,2.33
Washington Nationals v Philadelphia Phillies,Dylan Crews,Total Bases,0.5,1.666,Pinnacle,2.13
Washington Nationals v Philadelphia Phillies,Harrison Bader,Total Bases,0.5,1.549,Pinnacle,2.35
Washington Nationals v Philadelphia Phillies,J.T. Realmuto,Total Bases,1.5,2.14,Pinnacle,1.657
Washington Nationals v Philadelphia Phillies,James Wood,Total Bases,0.5,1.561,Pinnacle,2.33
Washington Nationals v Philadelphia Phillies,Josh Bell,Total Bases,0.5,1.549,Pinnacle,2.35
Washington Nationals v Philadelphia Phillies,Luis Garcia Jr.,Total Bases,1.5,2.38,Pinnacle,1.537
Washington Nationals v Philadelphia Phillies,Nick Castellanos,Total Bases,1.5,2.15,Pinnacle,1.653
Washington Nationals v Philadelphia Phillies,Riley Adams,Total Bases,0.5,1.819,Pinnacle,1.917
Washington Nationals v Philadelphia Phillies,Trea Turner,Total Bases,1.5,1.917,Pinnacle,1.826
Washington Nationals v Philadelphia Phillies,Weston Wilson,Total Bases,0.5,2,Pinnacle,1.751
