match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Chase Meidroth,NA,0.5,1.71,NA,Pointsbet,NA,2285902,87703671,1
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Chase Meidroth,NA,1.5,4.75,NA,Pointsbet,NA,2285902,87703671,2
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Chase Meidroth,NA,2.5,18,NA,Pointsbet,NA,2285902,87703671,3
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Miguel Vargas,Chicago White Sox,0.5,1.67,NA,Pointsbet,Seattle Mariners,2285902,87703671,7
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Miguel Vargas,Chicago White Sox,1.5,4.75,NA,Pointsbet,Seattle Mariners,2285902,87703671,8
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Miguel Vargas,Chicago White Sox,2.5,18,NA,Pointsbet,Seattle Mariners,2285902,87703671,9
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Andrew Vaughn,Chicago White Sox,0.5,1.63,NA,Pointsbet,Seattle Mariners,2285902,87703671,13
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Andrew Vaughn,Chicago White Sox,1.5,4.3,NA,Pointsbet,Seattle Mariners,2285902,87703671,14
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Andrew Vaughn,Chicago White Sox,2.5,16,NA,Pointsbet,Seattle Mariners,2285902,87703671,15
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Tim Elko,NA,0.5,2.05,NA,Pointsbet,NA,2285902,87703671,19
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Tim Elko,NA,1.5,6.5,NA,Pointsbet,NA,2285902,87703671,20
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Josh Palacios,NA,0.5,1.63,NA,Pointsbet,NA,2285902,87703671,25
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Josh Palacios,NA,1.5,4.5,NA,Pointsbet,NA,2285902,87703671,26
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Josh Palacios,NA,2.5,16,NA,Pointsbet,NA,2285902,87703671,27
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Luis Robert Jr.,Chicago White Sox,0.5,1.74,NA,Pointsbet,Seattle Mariners,2285902,87703671,31
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Luis Robert Jr.,Chicago White Sox,1.5,5,NA,Pointsbet,Seattle Mariners,2285902,87703671,32
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Luis Robert Jr.,Chicago White Sox,2.5,21,NA,Pointsbet,Seattle Mariners,2285902,87703671,33
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,J.P. Crawford,Seattle Mariners,0.5,1.48,NA,Pointsbet,Chicago White Sox,2285902,87703671,37
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,J.P. Crawford,Seattle Mariners,1.5,3.4,NA,Pointsbet,Chicago White Sox,2285902,87703671,38
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,J.P. Crawford,Seattle Mariners,2.5,11.5,NA,Pointsbet,Chicago White Sox,2285902,87703671,39
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Jorge Polanco,Seattle Mariners,0.5,1.48,NA,Pointsbet,Chicago White Sox,2285902,87703671,43
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Jorge Polanco,Seattle Mariners,1.5,3.6,NA,Pointsbet,Chicago White Sox,2285902,87703671,44
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Jorge Polanco,Seattle Mariners,2.5,11.5,NA,Pointsbet,Chicago White Sox,2285902,87703671,45
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Ben Williamson,NA,0.5,1.59,NA,Pointsbet,NA,2285902,87703671,49
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Ben Williamson,NA,1.5,4.3,NA,Pointsbet,NA,2285902,87703671,50
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Ben Williamson,NA,2.5,16,NA,Pointsbet,NA,2285902,87703671,51
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Rowdy Tellez,Seattle Mariners,0.5,1.69,NA,Pointsbet,Chicago White Sox,2285902,87703671,55
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Rowdy Tellez,Seattle Mariners,1.5,4.5,NA,Pointsbet,Chicago White Sox,2285902,87703671,56
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Rowdy Tellez,Seattle Mariners,2.5,16,NA,Pointsbet,Chicago White Sox,2285902,87703671,57
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Dylan Moore,Seattle Mariners,0.5,1.74,NA,Pointsbet,Chicago White Sox,2285902,87703671,61
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Dylan Moore,Seattle Mariners,1.5,5,NA,Pointsbet,Chicago White Sox,2285902,87703671,62
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Dylan Moore,Seattle Mariners,2.5,21,NA,Pointsbet,Chicago White Sox,2285902,87703671,63
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Cal Raleigh,Seattle Mariners,0.5,1.44,NA,Pointsbet,Chicago White Sox,2285902,87703671,67
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Cal Raleigh,Seattle Mariners,1.5,3.4,NA,Pointsbet,Chicago White Sox,2285902,87703671,68
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Cal Raleigh,Seattle Mariners,2.5,11,NA,Pointsbet,Chicago White Sox,2285902,87703671,69
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Julio Rodriguez,NA,0.5,1.33,NA,Pointsbet,NA,2285902,87703671,73
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Julio Rodriguez,NA,1.5,2.85,NA,Pointsbet,NA,2285902,87703671,74
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Julio Rodriguez,NA,2.5,8,NA,Pointsbet,NA,2285902,87703671,75
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Randy Arozarena,Seattle Mariners,0.5,1.59,NA,Pointsbet,Chicago White Sox,2285902,87703671,79
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Randy Arozarena,Seattle Mariners,1.5,4,NA,Pointsbet,Chicago White Sox,2285902,87703671,80
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Randy Arozarena,Seattle Mariners,2.5,14,NA,Pointsbet,Chicago White Sox,2285902,87703671,81
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Josh Rojas,NA,0.5,1.8,NA,Pointsbet,NA,2285902,87703671,85
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Josh Rojas,NA,1.5,5.5,NA,Pointsbet,NA,2285902,87703671,86
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Josh Rojas,NA,2.5,21,NA,Pointsbet,NA,2285902,87703671,87
Chicago White Sox v Seattle Mariners,Chicago White Sox,Seattle Mariners,Batter Hits,Matt Thaiss,Chicago White Sox,0.5,1.77,NA,Pointsbet,Seattle Mariners,2285902,87703671,91
