match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
Pittsburgh Pirates v Texas Rangers,2025-06-21 08:10:00,Head To Head,Pittsburgh Pirates,7,Texas Rangers,1.09,1.06,Pointsbet
New York Yankees v Baltimore Orioles,2025-06-21 08:35:00,Head To Head,New York Yankees,1,Baltimore Orioles,1,2,Pointsbet
Miami Marlins v Atlanta Braves,2025-06-21 08:40:00,Head To Head,Miami Marlins,1.8,Atlanta Braves,1.95,1.068,Pointsbet
St. Louis Cardinals v Cincinnati Reds,2025-06-21 08:45:00,Head To Head,St. Louis Cardinals,1.63,Cincinnati Reds,2.25,1.058,Pointsbet
Philadelphia Phillies v New York Mets,2025-06-21 08:45:00,Head To Head,Philadelphia Phillies,1.56,New York Mets,2.4,1.058,Pointsbet
Tampa Bay Rays v Detroit Tigers,2025-06-21 09:25:00,Head To Head,Tampa Bay Rays,1.9,Detroit Tigers,1.9,1.053,Pointsbet
Minnesota Twins v Milwaukee Brewers,2025-06-21 09:40:00,Head To Head,Minnesota Twins,1.66,Milwaukee Brewers,2.3,1.037,Pointsbet
Colorado Rockies v Arizona Diamondbacks,2025-06-21 10:10:00,Head To Head,Colorado Rockies,2.35,Arizona Diamondbacks,1.63,1.039,Pointsbet
Los Angeles Angels v Houston Astros,2025-06-21 11:08:00,Head To Head,Los Angeles Angels,2.35,Houston Astros,1.63,1.039,Pointsbet
San Diego Padres v Kansas City Royals,2025-06-21 11:10:00,Head To Head,San Diego Padres,1.67,Kansas City Royals,2.3,1.034,Pointsbet
Oakland Athletics v Cleveland Guardians,2025-06-21 11:35:00,Head To Head,Oakland Athletics,2.05,Cleveland Guardians,1.8,1.043,Pointsbet
Los Angeles Dodgers v Washington Nationals,2025-06-21 11:40:00,Head To Head,Los Angeles Dodgers,1.52,Washington Nationals,2.6,1.043,Pointsbet
San Francisco Giants v Boston Red Sox,2025-06-21 11:45:00,Head To Head,San Francisco Giants,1.76,Boston Red Sox,2.1,1.044,Pointsbet
Tampa Bay Rays v Detroit Tigers,2025-06-22 01:40:00,Head To Head,Tampa Bay Rays,1.8,Detroit Tigers,2.05,1.043,Pointsbet
New York Yankees v Baltimore Orioles,2025-06-22 02:35:00,Head To Head,New York Yankees,1.57,Baltimore Orioles,2.45,1.045,Pointsbet
Minnesota Twins v Milwaukee Brewers,2025-06-22 03:40:00,Head To Head,Minnesota Twins,1.71,Milwaukee Brewers,2.2,1.039,Pointsbet
St. Louis Cardinals v Cincinnati Reds,2025-06-22 03:45:00,Head To Head,St. Louis Cardinals,1.53,Cincinnati Reds,2.6,1.038,Pointsbet
Chicago Cubs v Seattle Mariners,2025-06-22 03:50:00,Head To Head,Chicago Cubs,1.57,Seattle Mariners,2.45,1.045,Pointsbet
Toronto Blue Jays v Chicago White Sox,2025-06-22 04:37:00,Head To Head,Toronto Blue Jays,1.44,Chicago White Sox,2.85,1.045,Pointsbet
Pittsburgh Pirates v Texas Rangers,2025-06-22 05:35:00,Head To Head,Pittsburgh Pirates,1.9,Texas Rangers,1.9,1.053,Pointsbet
San Francisco Giants v Boston Red Sox,2025-06-22 05:35:00,Head To Head,San Francisco Giants,1.71,Boston Red Sox,2.2,1.039,Pointsbet
Miami Marlins v Atlanta Braves,2025-06-22 05:40:00,Head To Head,Miami Marlins,2.35,Atlanta Braves,1.63,1.039,Pointsbet
San Diego Padres v Kansas City Royals,2025-06-22 08:45:00,Head To Head,San Diego Padres,1.67,Kansas City Royals,2.3,1.034,Pointsbet
Philadelphia Phillies v New York Mets,2025-06-22 08:45:00,Head To Head,Philadelphia Phillies,1.87,New York Mets,1.95,1.048,Pointsbet
Colorado Rockies v Arizona Diamondbacks,2025-06-22 10:40:00,Head To Head,Colorado Rockies,2.65,Arizona Diamondbacks,1.5,1.044,Pointsbet
Los Angeles Angels v Houston Astros,2025-06-22 11:08:00,Head To Head,Los Angeles Angels,1.95,Houston Astros,1.87,1.048,Pointsbet
Oakland Athletics v Cleveland Guardians,2025-06-22 11:35:00,Head To Head,Oakland Athletics,1.95,Cleveland Guardians,1.87,1.048,Pointsbet
Los Angeles Dodgers v Washington Nationals,2025-06-22 11:40:00,Head To Head,Los Angeles Dodgers,1.36,Washington Nationals,3.3,1.038,Pointsbet
