match,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,EventKey,MarketKey,OutcomeKey
Minnesota Twins v Seattle Mariners,Minnesota Twins,Seattle Mariners,Pitcher Strikeouts,Simeon Woods Richardson,NA,5.5,1,NA,Pointsbet,NA,2329104,90807844,6
Minnesota Twins v Seattle Mariners,Minnesota Twins,Seattle Mariners,Pitcher Strikeouts,Simeon Woods Richardson,NA,6.5,1,NA,Pointsbet,NA,2329104,90807844,7
Minnesota Twins v Seattle Mariners,Minnesota Twins,Seattle Mariners,Pitcher Strikeouts,Simeon Woods Richardson,NA,7.5,1,NA,Pointsbet,NA,2329104,90807844,8
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Griffin Canning,New York Mets,1.5,1.04,NA,Pointsbet,Atlanta Braves,2329500,90808395,2
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Griffin Canning,New York Mets,2.5,1.14,NA,Pointsbet,Atlanta Braves,2329500,90808395,3
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Griffin Canning,New York Mets,3.5,1.36,NA,Pointsbet,Atlanta Braves,2329500,90808395,4
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Griffin Canning,New York Mets,4.5,1.77,NA,Pointsbet,Atlanta Braves,2329500,90808395,5
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Griffin Canning,New York Mets,5.5,2.5,NA,Pointsbet,Atlanta Braves,2329500,90808395,6
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Griffin Canning,New York Mets,6.5,3.8,NA,Pointsbet,Atlanta Braves,2329500,90808395,7
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Griffin Canning,New York Mets,7.5,6,NA,Pointsbet,Atlanta Braves,2329500,90808395,8
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Griffin Canning,New York Mets,8.5,12,NA,Pointsbet,Atlanta Braves,2329500,90808395,9
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Griffin Canning,New York Mets,9.5,21,NA,Pointsbet,Atlanta Braves,2329500,90808395,10
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Grant Holmes,Atlanta Braves,1.5,1.02,NA,Pointsbet,New York Mets,2329500,90808395,12
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Grant Holmes,Atlanta Braves,2.5,1.08,NA,Pointsbet,New York Mets,2329500,90808395,13
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Grant Holmes,Atlanta Braves,3.5,1.2,NA,Pointsbet,New York Mets,2329500,90808395,14
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Grant Holmes,Atlanta Braves,4.5,1.48,NA,Pointsbet,New York Mets,2329500,90808395,15
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Grant Holmes,Atlanta Braves,5.5,1.9,NA,Pointsbet,New York Mets,2329500,90808395,16
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Grant Holmes,Atlanta Braves,6.5,2.75,NA,Pointsbet,New York Mets,2329500,90808395,17
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Grant Holmes,Atlanta Braves,7.5,4.3,NA,Pointsbet,New York Mets,2329500,90808395,18
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Grant Holmes,Atlanta Braves,8.5,7,NA,Pointsbet,New York Mets,2329500,90808395,19
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Grant Holmes,Atlanta Braves,9.5,12,NA,Pointsbet,New York Mets,2329500,90808395,20
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Griffin Canning,New York Mets,4.5,1.77,2,Pointsbet,Atlanta Braves,2329500,90808398,1
New York Mets v Atlanta Braves,New York Mets,Atlanta Braves,Pitcher Strikeouts,Grant Holmes,Atlanta Braves,5.5,1.9,1.83,Pointsbet,New York Mets,2329500,90808398,3
