match,start_time,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,original_roster_name
Baltimore Orioles v Toronto Blue Jays,2025-07-29T07:35:00Z,Baltimore Orioles,Toronto Blue Jays,Batter Hits,Tyler Heineman,NA,0.5,1.49,Sportsbet,NA,18,13135,14181062,519046818,2469534767,NA
Baltimore Orioles v Toronto Blue Jays,2025-07-29T07:35:00Z,Baltimore Orioles,Toronto Blue Jays,Batter Hits,Nathan Lukes,Toronto Blue Jays,0.5,1.25,Sportsbet,Baltimore Orioles,18,13135,14181062,519046818,2469534768,Nathan Lukes
Baltimore Orioles v Toronto Blue Jays,2025-07-29T07:35:00Z,Baltimore Orioles,Toronto Blue Jays,Batter Hits,George Springer,Toronto Blue Jays,0.5,1.2,Sportsbet,Baltimore Orioles,18,13135,14181062,519046818,2469534769,George Springer
Baltimore Orioles v Toronto Blue Jays,2025-07-29T07:35:00Z,Baltimore Orioles,Toronto Blue Jays,Batter Hits,Vladimir Guerrero Jr.,Toronto Blue Jays,0.5,1.16,Sportsbet,Baltimore Orioles,18,13135,14181062,519046818,2469534770,Vladimir Guerrero Jr.
Baltimore Orioles v Toronto Blue Jays,2025-07-29T07:35:00Z,Baltimore Orioles,Toronto Blue Jays,Batter Hits,Bo Bichette,Toronto Blue Jays,0.5,1.23,Sportsbet,Baltimore Orioles,18,13135,14181062,519046818,2469534771,Bo Bichette
Baltimore Orioles v Toronto Blue Jays,2025-07-29T07:35:00Z,Baltimore Orioles,Toronto Blue Jays,Batter Hits,Addison Barger,Toronto Blue Jays,0.5,1.27,Sportsbet,Baltimore Orioles,18,13135,14181062,519046818,2469534772,Addison Barger
Baltimore Orioles v Toronto Blue Jays,2025-07-29T07:35:00Z,Baltimore Orioles,Toronto Blue Jays,Batter Hits,Joey Loperfido,NA,0.5,1.43,Sportsbet,NA,18,13135,14181062,519046818,2469534773,NA
Baltimore Orioles v Toronto Blue Jays,2025-07-29T07:35:00Z,Baltimore Orioles,Toronto Blue Jays,Batter Hits,Ernie Clement,Toronto Blue Jays,0.5,1.31,Sportsbet,Baltimore Orioles,18,13135,14181062,519046818,2469534774,Ernie Clement
Baltimore Orioles v Toronto Blue Jays,2025-07-29T07:35:00Z,Baltimore Orioles,Toronto Blue Jays,Batter Hits,Will Wagner,NA,0.5,1.41,Sportsbet,NA,18,13135,14181062,519046818,2469534775,NA
Baltimore Orioles v Toronto Blue Jays,2025-07-29T07:35:00Z,Baltimore Orioles,Toronto Blue Jays,Batter Hits,Adley Rutschman,Baltimore Orioles,0.5,1.39,Sportsbet,Toronto Blue Jays,18,13135,14181062,519046818,2469534776,Adley Rutschman
Baltimore Orioles v Toronto Blue Jays,2025-07-29T07:35:00Z,Baltimore Orioles,Toronto Blue Jays,Batter Hits,Coby Mayo,Baltimore Orioles,0.5,1.63,Sportsbet,Toronto Blue Jays,18,13135,14181062,519046818,2470353540,Coby Mayo
Baltimore Orioles v Toronto Blue Jays,2025-07-29T07:35:00Z,Baltimore Orioles,Toronto Blue Jays,Batter Hits,Jackson Holliday,Baltimore Orioles,0.5,1.31,Sportsbet,Toronto Blue Jays,18,13135,14181062,519046818,2469534777,Jackson Holliday
Baltimore Orioles v Toronto Blue Jays,2025-07-29T07:35:00Z,Baltimore Orioles,Toronto Blue Jays,Batter Hits,Jordan Westburg,NA,0.5,1.29,Sportsbet,NA,18,13135,14181062,519046818,2469534778,NA
Baltimore Orioles v Toronto Blue Jays,2025-07-29T07:35:00Z,Baltimore Orioles,Toronto Blue Jays,Batter Hits,Gunnar Henderson,Baltimore Orioles,0.5,1.25,Sportsbet,Toronto Blue Jays,18,13135,14181062,519046818,2469534779,Gunnar Henderson
Baltimore Orioles v Toronto Blue Jays,2025-07-29T07:35:00Z,Baltimore Orioles,Toronto Blue Jays,Batter Hits,Ryan O'Hearn,Baltimore Orioles,0.5,1.37,Sportsbet,Toronto Blue Jays,18,13135,14181062,519046818,2469534780,Ryan O'Hearn
