match,start_time,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,original_roster_name
Kansas City Royals v Tampa Bay Rays,2025-06-25T08:40:00Z,Kansas City Royals,Tampa Bay Rays,Batter RBIs,Yandy Diaz,Tampa Bay Rays,1.5,6,Sportsbet,Kansas City Royals,18,13135,14013251,512326906,2442903319,Yandy Díaz
Kansas City Royals v Tampa Bay Rays,2025-06-25T08:40:00Z,Kansas City Royals,Tampa Bay Rays,Batter RBIs,Chandler Simpson,NA,1.5,8.25,Sportsbet,NA,18,13135,14013251,512326906,2443683641,NA
Kansas City Royals v Tampa Bay Rays,2025-06-25T08:40:00Z,Kansas City Royals,Tampa Bay Rays,Batter RBIs,Curtis Mead,Tampa Bay Rays,1.5,7.75,Sportsbet,Kansas City Royals,18,13135,14013251,512326906,2442903320,Curtis Mead
Kansas City Royals v Tampa Bay Rays,2025-06-25T08:40:00Z,Kansas City Royals,Tampa Bay Rays,Batter RBIs,Junior Caminero,Tampa Bay Rays,1.5,5.9,Sportsbet,Kansas City Royals,18,13135,14013251,512326906,2442903321,Junior Caminero
Kansas City Royals v Tampa Bay Rays,2025-06-25T08:40:00Z,Kansas City Royals,Tampa Bay Rays,Batter RBIs,Jonathan Aranda,Tampa Bay Rays,1.5,6.75,Sportsbet,Kansas City Royals,18,13135,14013251,512326906,2442903323,Jonathan Aranda
Kansas City Royals v Tampa Bay Rays,2025-06-25T08:40:00Z,Kansas City Royals,Tampa Bay Rays,Batter RBIs,Jake Mangum,Tampa Bay Rays,1.5,7.5,Sportsbet,Kansas City Royals,18,13135,14013251,512326906,2442903324,Jake Mangum
Kansas City Royals v Tampa Bay Rays,2025-06-25T08:40:00Z,Kansas City Royals,Tampa Bay Rays,Batter RBIs,Jose Caballero,Tampa Bay Rays,1.5,8,Sportsbet,Kansas City Royals,18,13135,14013251,512326906,2442903325,José Caballero
Kansas City Royals v Tampa Bay Rays,2025-06-25T08:40:00Z,Kansas City Royals,Tampa Bay Rays,Batter RBIs,Danny Jansen,Tampa Bay Rays,1.5,6.5,Sportsbet,Kansas City Royals,18,13135,14013251,512326906,2442903326,Danny Jansen
Kansas City Royals v Tampa Bay Rays,2025-06-25T08:40:00Z,Kansas City Royals,Tampa Bay Rays,Batter RBIs,Taylor Walls,Tampa Bay Rays,1.5,10,Sportsbet,Kansas City Royals,18,13135,14013251,512326906,2442903327,Taylor Walls
Kansas City Royals v Tampa Bay Rays,2025-06-25T08:40:00Z,Kansas City Royals,Tampa Bay Rays,Batter RBIs,Jonathan India,Kansas City Royals,1.5,7.75,Sportsbet,Tampa Bay Rays,18,13135,14013251,512326906,2442903328,Jonathan India
