match,start_time,market_name,home_team,home_win,away_team,away_win,margin,agency
Miami Marlins v Minnesota Twins,2025-07-04T01:10:00Z,Head To Head,Miami Marlins,1.98,Minnesota Twins,1.83,1.051,Sportsbet
Colorado Rockies v Houston Astros,2025-07-04T04:10:00Z,Head To Head,Colorado Rockies,2.58,Houston Astros,1.5,1.054,Sportsbet
Washington Nationals v Detroit Tigers,2025-07-04T07:45:00Z,Head To Head,Washington Nationals,2.23,Detroit Tigers,1.66,1.051,Sportsbet
Toronto Blue Jays v New York Yankees,2025-07-04T08:07:00Z,Head To Head,Toronto Blue Jays,2.03,New York Yankees,1.79,1.051,Sportsbet
New York Mets v Milwaukee Brewers,2025-07-04T08:10:00Z,Head To Head,New York Mets,1.6,Milwaukee Brewers,2.35,1.051,Sportsbet
Atlanta Braves v Los Angeles Angels,2025-07-04T08:15:00Z,Head To Head,Atlanta Braves,1.65,Los Angeles Angels,2.25,1.051,Sportsbet
Chicago Cubs v Cleveland Guardians,2025-07-04T09:05:00Z,Head To Head,Chicago Cubs,1.65,Cleveland Guardians,2.25,1.051,Sportsbet
Arizona Diamondbacks v San Francisco Giants,2025-07-04T10:40:00Z,Head To Head,Arizona Diamondbacks,2,San Francisco Giants,1.8,1.056,Sportsbet
Seattle Mariners v Kansas City Royals,2025-07-04T11:10:00Z,Head To Head,Seattle Mariners,1.75,Kansas City Royals,2.08,1.052,Sportsbet
Los Angeles Dodgers v Chicago White Sox,2025-07-04T11:10:00Z,Head To Head,Los Angeles Dodgers,1.32,Chicago White Sox,3.3,1.061,Sportsbet
