match,start_time,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,agency,opposition_team,class_external_id,competition_external_id,event_external_id,market_id_over,player_id,market_id_under,player_id_unders,original_roster_name
St. Louis Cardinals v Chicago Cubs,2025-08-11T08:40:00Z,St. Louis Cardinals,Chicago Cubs,Pitcher Strikeouts,Sonny Gray,St. Louis Cardinals,2.5,1.03,NA,Sportsbet,Chicago Cubs,18,13135,14248017,NA,2481385083,NA,NA,Sonny Gray
St. Louis Cardinals v Chicago Cubs,2025-08-11T08:40:00Z,St. Louis Cardinals,Chicago Cubs,Pitcher Strikeouts,Sonny Gray,St. Louis Cardinals,3.5,1.13,NA,Sportsbet,Chicago Cubs,18,13135,14248017,NA,2481385084,NA,NA,Sonny Gray
St. Louis Cardinals v Chicago Cubs,2025-08-11T08:40:00Z,St. Louis Cardinals,Chicago Cubs,Pitcher Strikeouts,Sonny Gray,St. Louis Cardinals,4.5,1.31,NA,Sportsbet,Chicago Cubs,18,13135,14248017,NA,2481385085,NA,NA,Sonny Gray
St. Louis Cardinals v Chicago Cubs,2025-08-11T08:40:00Z,St. Louis Cardinals,Chicago Cubs,Pitcher Strikeouts,Sonny Gray,St. Louis Cardinals,5.5,1.79,NA,Sportsbet,Chicago Cubs,18,13135,14248017,NA,2481385086,NA,NA,Sonny Gray
St. Louis Cardinals v Chicago Cubs,2025-08-11T08:40:00Z,St. Louis Cardinals,Chicago Cubs,Pitcher Strikeouts,Sonny Gray,St. Louis Cardinals,6.5,2.58,NA,Sportsbet,Chicago Cubs,18,13135,14248017,NA,2481385087,NA,NA,Sonny Gray
St. Louis Cardinals v Chicago Cubs,2025-08-11T08:40:00Z,St. Louis Cardinals,Chicago Cubs,Pitcher Strikeouts,Sonny Gray,St. Louis Cardinals,7.5,4.25,NA,Sportsbet,Chicago Cubs,18,13135,14248017,NA,2481385088,NA,NA,Sonny Gray
St. Louis Cardinals v Chicago Cubs,2025-08-11T08:40:00Z,St. Louis Cardinals,Chicago Cubs,Pitcher Strikeouts,Sonny Gray,St. Louis Cardinals,8.5,6.5,NA,Sportsbet,Chicago Cubs,18,13135,14248017,NA,2481385089,NA,NA,Sonny Gray
St. Louis Cardinals v Chicago Cubs,2025-08-11T08:40:00Z,St. Louis Cardinals,Chicago Cubs,Pitcher Strikeouts,Shota Imanaga,NA,2.5,1.08,NA,Sportsbet,NA,18,13135,14248017,NA,2481385073,NA,NA,NA
St. Louis Cardinals v Chicago Cubs,2025-08-11T08:40:00Z,St. Louis Cardinals,Chicago Cubs,Pitcher Strikeouts,Shota Imanaga,NA,3.5,1.25,NA,Sportsbet,NA,18,13135,14248017,NA,2481385074,NA,NA,NA
St. Louis Cardinals v Chicago Cubs,2025-08-11T08:40:00Z,St. Louis Cardinals,Chicago Cubs,Pitcher Strikeouts,Shota Imanaga,NA,4.5,1.71,NA,Sportsbet,NA,18,13135,14248017,NA,2481385075,NA,NA,NA
