match,start_time,home_team,away_team,market_name,line,over_price,under_price,agency
New York Mets v San Diego Padres,2025-09-19T02:10:00Z,New York Mets,San Diego Padres,Total Runs Over/Under,6.5,1.27,3.3,Sportsbet
New York Mets v San Diego Padres,2025-09-19T02:10:00Z,New York Mets,San Diego Padres,Total Runs Over/Under,7.5,1.5,2.4,Sportsbet
New York Mets v San Diego Padres,2025-09-19T02:10:00Z,New York Mets,San Diego Padres,Total Runs Over/Under,8.5,1.71,2,Sportsbet
New York Mets v San Diego Padres,2025-09-19T02:10:00Z,New York Mets,San Diego Padres,Total Runs Over/Under,9,1.93,1.84,Sportsbet
New York Mets v San Diego Padres,2025-09-19T02:10:00Z,New York Mets,San Diego Padres,Total Runs Over/Under,9.5,2.12,1.64,Sportsbet
New York Mets v San Diego Padres,2025-09-19T02:10:00Z,New York Mets,San Diego Padres,Total Runs Over/Under,10.5,2.5,1.46,Sportsbet
New York Mets v San Diego Padres,2025-09-19T02:10:00Z,New York Mets,San Diego Padres,Total Runs Over/Under,11.5,3.2,1.29,Sportsbet
New York Mets v San Diego Padres,2025-09-19T02:10:00Z,New York Mets,San Diego Padres,Total Runs Over/Under,12.5,3.9,1.2,Sportsbet
New York Mets v San Diego Padres,2025-09-19T02:10:00Z,New York Mets,San Diego Padres,Total Runs Over/Under,13.5,5.2,1.12,Sportsbet
New York Mets v San Diego Padres,2025-09-19T02:10:00Z,New York Mets,San Diego Padres,Total Runs Over/Under,14.5,6.5,1.08,Sportsbet
Detroit Tigers v Cleveland Guardians,2025-09-19T02:10:00Z,Detroit Tigers,Cleveland Guardians,Total Runs Over/Under,5.5,1.37,2.8,Sportsbet
Detroit Tigers v Cleveland Guardians,2025-09-19T02:10:00Z,Detroit Tigers,Cleveland Guardians,Total Runs Over/Under,6.5,1.57,2.2,Sportsbet
Detroit Tigers v Cleveland Guardians,2025-09-19T02:10:00Z,Detroit Tigers,Cleveland Guardians,Total Runs Over/Under,7.5,1.94,1.77,Sportsbet
Detroit Tigers v Cleveland Guardians,2025-09-19T02:10:00Z,Detroit Tigers,Cleveland Guardians,Total Runs Over/Under,8.5,2.3,1.54,Sportsbet
