match,start_time,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,prop_id,under_prop_id,agency,original_roster_name
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,Oneil Cruz,Pittsburgh Pirates,Cincinnati Reds,0.5,2.25,NA,767791,NA,TAB,Oneil Cruz
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,Bryan Reynolds,Pittsburgh Pirates,Cincinnati Reds,0.5,2.6,NA,767793,NA,TAB,Bryan Reynolds
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,Nick Gonzales,NA,NA,0.5,2.7,NA,767792,NA,TAB,NA
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,Jared Triolo,Pittsburgh Pirates,Cincinnati Reds,0.5,2.8,NA,767794,NA,TAB,Jared Triolo
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,Spencer Horwitz,Pittsburgh Pirates,Cincinnati Reds,0.5,2.8,NA,767795,NA,TAB,Spencer Horwitz
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,Jack Suwinski,NA,NA,0.5,2.9,NA,767796,NA,TAB,NA
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,Henry Davis,Pittsburgh Pirates,Cincinnati Reds,0.5,2.9,NA,767798,NA,TAB,Henry Davis
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,Isiah Kiner-Falefa,Pittsburgh Pirates,Cincinnati Reds,0.5,3.1,NA,767799,NA,TAB,Isiah Kiner-Falefa
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,Austin Hays,NA,NA,0.5,2.7,NA,767782,NA,TAB,NA
Pittsburgh Pirates v Cincinnati Reds,2025-08-08 08:10:00,Pittsburgh Pirates,Cincinnati Reds,Player RBIs,Elly De La Cruz,Cincinnati Reds,Pittsburgh Pirates,0.5,2.9,NA,767783,NA,TAB,Elly De La Cruz
