match,start_time,market_name,home_team,home_line,home_price,away_team,away_line,away_price,margin,agency
Baltimore Orioles v Chicago Cubs,2024-07-10 08:05:00,Line,Baltimore Orioles,2.5,3.1,Chicago Cubs,-2.5,1.35,1.063,TAB
Baltimore Orioles v Chicago Cubs,2024-07-10 08:05:00,Line,Baltimore Orioles,3.5,2.25,Chicago Cubs,-3.5,1.62,1.062,TAB
Baltimore Orioles v Chicago Cubs,2024-07-10 08:05:00,Line,Baltimore Orioles,4.5,1.7,Chicago Cubs,-4.5,2.1,1.064,TAB
Baltimore Orioles v Chicago Cubs,2024-07-10 08:05:00,Line,Baltimore Orioles,5.5,1.35,Chicago Cubs,-5.5,3.1,1.063,TAB
Baltimore Orioles v Chicago Cubs,2024-07-10 08:05:00,Line,Baltimore Orioles,6.5,1.2,Chicago Cubs,-6.5,4.5,1.056,TAB
Detroit Tigers v Cleveland Guardians,2024-07-10 08:10:00,Line,Detroit Tigers,1.5,3.4,Cleveland Guardians,-1.5,1.3,1.063,TAB
Detroit Tigers v Cleveland Guardians,2024-07-10 08:10:00,Line,Detroit Tigers,2.5,2.25,Cleveland Guardians,-2.5,1.62,1.062,TAB
Detroit Tigers v Cleveland Guardians,2024-07-10 08:10:00,Line,Detroit Tigers,3.5,1.6,Cleveland Guardians,-3.5,2.3,1.06,TAB
Detroit Tigers v Cleveland Guardians,2024-07-10 08:10:00,Line,Detroit Tigers,4.5,1.3,Cleveland Guardians,-4.5,3.4,1.063,TAB
Detroit Tigers v Cleveland Guardians,2024-07-10 08:10:00,Line,Detroit Tigers,-1.5,12,Cleveland Guardians,1.5,1.04,1.045,TAB
Philadelphia Phillies v Los Angeles Dodgers,2024-07-10 08:11:00,Line,Philadelphia Phillies,-10.5,2.9,Los Angeles Dodgers,10.5,1.4,1.059,TAB
Philadelphia Phillies v Los Angeles Dodgers,2024-07-10 08:11:00,Line,Philadelphia Phillies,-6.5,1.16,Los Angeles Dodgers,6.5,5,1.062,TAB
Philadelphia Phillies v Los Angeles Dodgers,2024-07-10 08:11:00,Line,Philadelphia Phillies,-7.5,1.3,Los Angeles Dodgers,7.5,3.4,1.063,TAB
Philadelphia Phillies v Los Angeles Dodgers,2024-07-10 08:11:00,Line,Philadelphia Phillies,-8.5,1.55,Los Angeles Dodgers,8.5,2.4,1.062,TAB
Philadelphia Phillies v Los Angeles Dodgers,2024-07-10 08:11:00,Line,Philadelphia Phillies,-9.5,2.1,Los Angeles Dodgers,9.5,1.7,1.064,TAB
Tampa Bay Rays v New York Yankees,2024-07-10 08:20:00,Line,Tampa Bay Rays,1.5,1.07,New York Yankees,-1.5,8,1.06,TAB
Tampa Bay Rays v New York Yankees,2024-07-10 08:20:00,Line,Tampa Bay Rays,-1.5,1.35,New York Yankees,1.5,3.1,1.063,TAB
Tampa Bay Rays v New York Yankees,2024-07-10 08:20:00,Line,Tampa Bay Rays,-2.5,1.68,New York Yankees,2.5,2.15,1.06,TAB
Tampa Bay Rays v New York Yankees,2024-07-10 08:20:00,Line,Tampa Bay Rays,-3.5,2.3,New York Yankees,3.5,1.6,1.06,TAB
Tampa Bay Rays v New York Yankees,2024-07-10 08:20:00,Line,Tampa Bay Rays,-4.5,3.3,New York Yankees,4.5,1.32,1.061,TAB
Cincinnati Reds v Colorado Rockies,2024-07-10 08:40:00,Line,Cincinnati Reds,-3.5,1.25,Colorado Rockies,3.5,3.8,1.063,TAB
Cincinnati Reds v Colorado Rockies,2024-07-10 08:40:00,Line,Cincinnati Reds,-4.5,1.45,Colorado Rockies,4.5,2.7,1.06,TAB
Cincinnati Reds v Colorado Rockies,2024-07-10 08:40:00,Line,Cincinnati Reds,-5.5,1.75,Colorado Rockies,5.5,2.05,1.059,TAB
Cincinnati Reds v Colorado Rockies,2024-07-10 08:40:00,Line,Cincinnati Reds,-6.5,2.25,Colorado Rockies,6.5,1.62,1.062,TAB
Cincinnati Reds v Colorado Rockies,2024-07-10 08:40:00,Line,Cincinnati Reds,-7.5,2.9,Colorado Rockies,7.5,1.4,1.059,TAB
New York Mets v Washington Nationals,2024-07-10 08:41:00,Line,New York Mets,-1.5,1.28,Washington Nationals,1.5,3.6,1.059,TAB
New York Mets v Washington Nationals,2024-07-10 08:41:00,Line,New York Mets,-2.5,1.48,Washington Nationals,2.5,2.6,1.06,TAB
New York Mets v Washington Nationals,2024-07-10 08:41:00,Line,New York Mets,-3.5,1.75,Washington Nationals,3.5,2.05,1.059,TAB
New York Mets v Washington Nationals,2024-07-10 08:41:00,Line,New York Mets,-4.5,2.25,Washington Nationals,4.5,1.62,1.062,TAB
New York Mets v Washington Nationals,2024-07-10 08:41:00,Line,New York Mets,-5.5,3,Washington Nationals,5.5,1.38,1.058,TAB
Boston Red Sox v Oakland Athletics,2024-07-10 08:42:00,Line,Boston Red Sox,-1.5,1.3,Oakland Athletics,1.5,3.4,1.063,TAB
Boston Red Sox v Oakland Athletics,2024-07-10 08:42:00,Line,Boston Red Sox,-2.5,1.5,Oakland Athletics,2.5,2.5,1.067,TAB
Boston Red Sox v Oakland Athletics,2024-07-10 08:42:00,Line,Boston Red Sox,-3.5,1.75,Oakland Athletics,3.5,2.05,1.059,TAB
Boston Red Sox v Oakland Athletics,2024-07-10 08:42:00,Line,Boston Red Sox,-4.5,2.1,Oakland Athletics,4.5,1.7,1.064,TAB
Boston Red Sox v Oakland Athletics,2024-07-10 08:42:00,Line,Boston Red Sox,-5.5,2.5,Oakland Athletics,5.5,1.52,1.058,TAB
Houston Astros v Miami Marlins,2024-07-10 09:40:00,Line,Houston Astros,1.5,1.25,Miami Marlins,-1.5,4,1.05,TAB
Houston Astros v Miami Marlins,2024-07-10 09:40:00,Line,Houston Astros,-1.5,1.87,Miami Marlins,1.5,1.95,1.048,TAB
Houston Astros v Miami Marlins,2024-07-10 09:40:00,Line,Houston Astros,-2.5,2.4,Miami Marlins,2.5,1.58,1.05,TAB
