match,start_time,market_name,home_team,away_team,line,over_price,under_price,agency
Cleveland Guardians v Colorado Rockies,2025-07-29 08:40:00,Total Runs Over/Under,Cleveland Guardians,Colorado Rockies,7.5,1.58,2.4,TAB
Cleveland Guardians v Colorado Rockies,2025-07-29 08:40:00,Total Runs Over/Under,Cleveland Guardians,Colorado Rockies,8.5,1.8,2,TAB
Cleveland Guardians v Colorado Rockies,2025-07-29 08:40:00,Total Runs Over/Under,Cleveland Guardians,Colorado Rockies,9.5,2.2,1.68,TAB
Detroit Tigers v Arizona Diamondbacks,2025-07-29 08:10:00,Total Runs Over/Under,Detroit Tigers,Arizona Diamondbacks,7.5,1.58,2.4,TAB
Detroit Tigers v Arizona Diamondbacks,2025-07-29 08:10:00,Total Runs Over/Under,Detroit Tigers,Arizona Diamondbacks,8.5,1.8,2.05,TAB
Detroit Tigers v Arizona Diamondbacks,2025-07-29 08:10:00,Total Runs Over/Under,Detroit Tigers,Arizona Diamondbacks,9.5,2.2,1.68,TAB
New York Yankees v Tampa Bay Rays,2025-07-29 08:35:00,Total Runs Over/Under,New York Yankees,Tampa Bay Rays,7.5,1.62,2.3,TAB
New York Yankees v Tampa Bay Rays,2025-07-29 08:35:00,Total Runs Over/Under,New York Yankees,Tampa Bay Rays,8.5,1.87,1.95,TAB
New York Yankees v Tampa Bay Rays,2025-07-29 08:35:00,Total Runs Over/Under,New York Yankees,Tampa Bay Rays,9.5,2.3,1.62,TAB
Cincinnati Reds v Los Angeles Dodgers,2025-07-29 08:40:00,Total Runs Over/Under,Cincinnati Reds,Los Angeles Dodgers,10.5,2.4,1.58,TAB
Cincinnati Reds v Los Angeles Dodgers,2025-07-29 08:40:00,Total Runs Over/Under,Cincinnati Reds,Los Angeles Dodgers,8.5,1.7,2.15,TAB
Cincinnati Reds v Los Angeles Dodgers,2025-07-29 08:40:00,Total Runs Over/Under,Cincinnati Reds,Los Angeles Dodgers,9.5,2.05,1.8,TAB
Chicago White Sox v Philadelphia Phillies,2025-07-29 09:10:00,Total Runs Over/Under,Chicago White Sox,Philadelphia Phillies,7.5,1.75,2.1,TAB
Chicago White Sox v Philadelphia Phillies,2025-07-29 09:10:00,Total Runs Over/Under,Chicago White Sox,Philadelphia Phillies,8.5,2,1.8,TAB
Chicago White Sox v Philadelphia Phillies,2025-07-29 09:10:00,Total Runs Over/Under,Chicago White Sox,Philadelphia Phillies,9.5,2.6,1.52,TAB
Kansas City Royals v Atlanta Braves,2025-07-29 09:10:00,Total Runs Over/Under,Kansas City Royals,Atlanta Braves,10.5,2.2,1.68,TAB
Kansas City Royals v Atlanta Braves,2025-07-29 09:10:00,Total Runs Over/Under,Kansas City Royals,Atlanta Braves,8.5,1.6,2.4,TAB
Kansas City Royals v Atlanta Braves,2025-07-29 09:10:00,Total Runs Over/Under,Kansas City Royals,Atlanta Braves,9.5,1.9,1.92,TAB
