id,name,rot_num,line_id,price,handicap,selection,player_name,home_team,away_team
1612671325,Over,926,5149102334,1.847,17.5,Kevin Gausman (Pitching Outs)(must start),Kevin Gausman (Pitching Outs)(must start),Colorado Rockies,Toronto Blue Jays
1612671326,Under,927,5149102335,1.892,17.5,Kevin Gausman (Pitching Outs)(must start),Kevin Gausman (Pitching Outs)(must start),Colorado Rockies,Toronto Blue Jays
1612671331,Over,926,5149102340,2.04,15.5,Kyle Freeland (Pitching Outs)(must start),Kyle Freeland (Pitching Outs)(must start),Colorado Rockies,Toronto Blue Jays
1612671332,Under,927,5149102341,1.724,15.5,Kyle Freeland (Pitching Outs)(must start),Kyle Freeland (Pitching Outs)(must start),Colorado Rockies,Toronto Blue Jays
1612671580,Over,902,5149092466,1.934,17.5,Robbie Ray (Pitching Outs)(must start),Robbie Ray (Pitching Outs)(must start),Pittsburgh Pirates,San Francisco Giants
1612671581,Under,903,5149092467,1.813,17.5,Robbie Ray (Pitching Outs)(must start),Robbie Ray (Pitching Outs)(must start),Pittsburgh Pirates,San Francisco Giants
1612671514,Over,908,5149080037,2.72,18.5,Spencer Strider (Pitching Outs)(must start),Spencer Strider (Pitching Outs)(must start),Atlanta Braves,Milwaukee Brewers
1612671515,Under,909,5149080038,1.423,18.5,Spencer Strider (Pitching Outs)(must start),Spencer Strider (Pitching Outs)(must start),Atlanta Braves,Milwaukee Brewers
1612672815,Over,928,5149031543,2.0,15.5,Janson Junk (Pitching Outs)(must start),Janson Junk (Pitching Outs)(must start),Miami Marlins,Houston Astros
1612672816,Under,929,5149031544,1.751,15.5,Janson Junk (Pitching Outs)(must start),Janson Junk (Pitching Outs)(must start),Miami Marlins,Houston Astros
1612675275,Over,922,5149065962,2.23,18.5,Ranger Suárez (Pitching Outs)(must start),Ranger Suárez (Pitching Outs)(must start),Philadelphia Phillies,Baltimore Orioles
1612675276,Under,923,5149065963,1.609,18.5,Ranger Suárez (Pitching Outs)(must start),Ranger Suárez (Pitching Outs)(must start),Philadelphia Phillies,Baltimore Orioles
1612675288,Over,922,5149104846,1.9,17.5,Trevor Rogers (Pitching Outs)(must start),Trevor Rogers (Pitching Outs)(must start),Philadelphia Phillies,Baltimore Orioles
1612675289,Under,923,5149104847,1.84,17.5,Trevor Rogers (Pitching Outs)(must start),Trevor Rogers (Pitching Outs)(must start),Philadelphia Phillies,Baltimore Orioles
1612675327,Over,918,5149098837,2.31,15.5,Dustin May (Pitching Outs)(must start),Dustin May (Pitching Outs)(must start),Boston Red Sox,Kansas City Royals
1612675328,Under,919,5149098838,1.571,15.5,Dustin May (Pitching Outs)(must start),Dustin May (Pitching Outs)(must start),Boston Red Sox,Kansas City Royals
1612675426,Over,906,5149094201,1.561,14.5,Matthew Liberatore (Pitching Outs)(must start),Matthew Liberatore (Pitching Outs)(must start),Los Angeles Dodgers,St. Louis Cardinals
1612675427,Under,907,5149094202,2.33,14.5,Matthew Liberatore (Pitching Outs)(must start),Matthew Liberatore (Pitching Outs)(must start),Los Angeles Dodgers,St. Louis Cardinals
1612675438,Over,920,5149094075,1.833,15.5,Jonathan Cannon (Pitching Outs)(must start),Jonathan Cannon (Pitching Outs)(must start),Seattle Mariners,Chicago White Sox
1612675439,Under,921,5149094076,1.9,15.5,Jonathan Cannon (Pitching Outs)(must start),Jonathan Cannon (Pitching Outs)(must start),Seattle Mariners,Chicago White Sox
1612675810,Over,904,5149097994,1.892,17.5,Andrew Abbott (Pitching Outs)(must start),Andrew Abbott (Pitching Outs)(must start),Chicago Cubs,Cincinnati Reds
1612675811,Under,905,5149097995,1.847,17.5,Andrew Abbott (Pitching Outs)(must start),Andrew Abbott (Pitching Outs)(must start),Chicago Cubs,Cincinnati Reds
1612675987,Over,930,5149105715,1.581,17.5,Jeffrey Springs (Pitching Outs)(must start),Jeffrey Springs (Pitching Outs)(must start),Washington Nationals,Athletics
1612675988,Under,931,5149105716,2.28,17.5,Jeffrey Springs (Pitching Outs)(must start),Jeffrey Springs (Pitching Outs)(must start),Washington Nationals,Athletics
